1	text
2	text
3	text
4gl	text
5	text
LIB	binary
VER	text
a	text
acf	text
adf	binary
ant	text
api	binary
app	binary
asm	text
attributes	binary
aux	text
awk	text
axp	text
bas	text
bat	text
bdb	text
bmp	binary
bom	text
bsh	text
btd	binary
btx	binary
btz	binary
bug	text
c	text
c64	text
cat	binary
cc	text
ccg	text
cdf	text
cdg	text
cdr	binary
cer	binary
cex	text
cfg	text
cif	text
cl	text
cla	binary
class	binary
cld	text
clf	text
cls	binary
clw	binary
cmd	text
cmn	text
cmp	text
cnf	text
cnt	binary
col	text
cob	text
com	text
cp	text
cpp	text
cps	text
crl	text
csc	text
csh	text
css	text
ctl	text
cur	binary
daf	binary
dat	text
db2	text
dc	text
dct	binary
ddl	text
def	binary
dep	text
der	binary
dlg	text
dll	binary
doc	binary
drw	binary
dsp	text
dsw	text
dtd	text
e	text
ec	text
edf	binary
ejb	text
ejbj2eeri	text
ejbmodule	text
ejbtestAS1	text
ejbtestAS2	text
env	text
es1	text
es2	text
es3	text
esc	text
ex	binary
exe	binary
exp	text
fdb	binary
fdd	binary
fdl	text
fff	binary
fmf	binary
fml	text
fn	text
fnd	text
fns	text
form text
fpf	text
frm	text
frx	binary
fs1	text
fs2	text
fs3	text
fsc	text
fsm	binary
fso	binary
fsw	binary
fts	binary
gen	text
gid	binary
gif	binary
gnu	text
grp	binary
gz	binary
h	text
hdg	text
hf	text
hlp	binary
hqx	text
hs	text
ht	text
htm	text
html	text
ice	text
ico	binary
idb	binary
idf	binary
idl	text
ids	text
idx	binary
imh	text
iml	text
inc	text
inf	text
ing	text
ini	text
inp	text
ior	text
isj	binary
jar	binary
jav	text
java	text
jcl	text
jhm	text
jpg	binary
jpp	text
js	text
jsw	binary
kdf	text
key	binary
ksh	text
ky	text
kys	text
l	text
lib	binary
license	binary
lnk	text
lst	text
ltz	binary
m32	text
m64	text
mac	text
mak	text
man	text
map	text
mar	text
mb2	binary
mdd	text
mem	text
mf	text
min	text
mk	text
mmf	text
mml	text
mms	text
mpw	text
ms	text
msg	text
msh	text
mvs390	text
mxi	text
mxp	binary
ncb	binary
nco	text
neg	text
nt	text
nti	text
nto	binary
o	binary
obj	binary
ocx	binary
odb	text
odl	text
olb	binary
opt	text
ora	text
org	text
p7c	binary
p7s	binary
pc	text
pch	binary
pdf	binary
pds	binary
pel	text
pex	text
pfx	binary
pif	binary
pin	text
pl	text
pm	text
ppf	text
ppt	binary
prl	text
pro	text
props	text
properties	text
prp	text
prx	text
r	text
r6k	text
rc	text
rc2	text
rdb	text
rdf	text
ref	text
reg	text
res	binary
rex	text
rsp	text
rtf	binary
rul	text
s	text
sc	text
scl	text
scr	text
sdf	text
sed	text
ser	binary
sh	text
sho	binary
ske	text
slk	binary
so	binary
sqc	text
sql	text
sta	binary
stub	text
stz	binary
syb	text
tad	binary
tar	binary
tbl	text
tch	text
tcl	text
tex	text
tgz	binary
tlb	binary
tld	text
toc	text
tp	text
tpl	text
tps	text
trc	text
txt	text
vbp	text
vcw	text
ver	text
vlx	binary
vr	text
vrs	text
vsd	binary
w3	text
w30	text
war	binary
wsp	text
x	text
xbm	text
xdi	binary
xls	binary
xml	text
xpm	text
xsl	text
y	text
zip	binary
