AARON           0               M
ABD             ABDEL           M 
ABDALLAH        0               M   
ABDEL           0               M
ABDELAZIZ       0               M
ABDELGHANI      0               M 
ABDELHAFID      HAFID           M
ABDELHAK        0               M 
ABDELHAKIM      HAKIM           M
ABDELHALIM      HALIM           M     
ABDELHAMID      HAMID           M
ABDELKADER      KADER           M
ABDELKARIM      KARIM           M
ABDELKRIM       KARIM           M       
ABDELLAH        ABDALLAH        M
ABDELLATIF      0               M
ABDELMAJID      MAJID           M
ABDELMALEK      MALIK           M
ABDELMALIK      MALIK           M
ABDERRAHIM      0               M
ABDERRAHMANE    0               M 
ABDOU           ABDEL           M  
ABDOUL          ABDEL           M    
ABDOULAYE       ABDEL           M
ABDULLAH        ABDALLAH        M
ABEL            0               M
ABIGAEL         0               F
ABIGAIL         ABIGAEL         F
ABOUBACAR       0               M
ACHILLE         0               M
ACHRAF          0               M           
ADAM            0               M
ADAMA           0               N 
ADEL            0               M
ADELAIDE        0               F
ADELE           0               F
ADELIA          ADELIE          F
ADELIE          0               F       
ADELINA         ADELINE         F 
ADELINE         0               F 
ADEM            ADAM            M    
ADIL            ADEL            M
ADRIAN          ADRIEN          M  
ADRIANA         ADRIANE         F
ADRIANE         0               F 
ADRIANO         ADRIEN          M  
ADRIEN          0               M 
ADRIENNE        ADRIANE         F
AGATHE          0               F
AGNES           0               F
AHLAM           AHLEM           F
AHLEM           0               F
AHMED           0               M
AHMET           AHMED           M  
AICHA           0               F
AIDA            0               F
AIME            0               N
AIMEE           0               F
AIMERIC         EMERIC          M 
AISSA           ISSA            M
AISSATA         0               F 
AISSATOU        AISSATA         F 
AKIM            HAKIM           M 
ALAIN           0               M   
ALAN            ALAIN           M 
ALBAN           0               M
ALBERT          0               M
ALBERTO         ALBERT          M
ALBIN           ALBAN           M
ALDO            0               M
ALEC            ALEXANDRE       M 
ALEKSANDAR      ALEXANDRE       M  
ALESSANDRO      ALEXANDRE       M  
ALEX            ALEXANDRE       M 
ALEXA           ALEXIA          F
ALEXANDER       ALEXANDRE       M   
ALEXANDRA       0               F
ALEXANDRE       0               M 
ALEXANDRINE     ALEXIA          F
ALEXANE         ALEXIA          F
ALEXI           ALEXANDRE       M  
ALEXIA          0               F
ALEXIANE        ALEXIA          F
ALEXIE          ALEXIA          F
ALEXINE         ALEXIA          F
ALEXIS          ALEXANDRE       M  
ALEXY           ALEXANDRE       M   
ALFRED          0               M 
ALI             0               M
ALIA            0               F
ALICE           0               F 
ALICIA          ALICE           F
ALIENOR         ELEONORE        F
ALIMA           HALIMA          F        
ALINA           ALINE           F 
ALINE           0               F
ALISON          0               F 
ALISSA          ALICE           F
ALISSIA         ALICE           F
ALISSON         ALISON          F 
ALIX            ALEXANDRE       M   
ALIX            ALICE           F
ALIZE           ALIZEE          F 
ALIZEE          0               F
ALLAN           ALAIN           M  
ALLISON         ALISON          F 
ALLISSON        ALISON          F
ALLYSON         ALISON          F
ALOIS           0               M
ALPHONSE        0               M
ALVIN           0               M
ALYCIA          ALICE           F
ALYSON          ALISON          F       
ALYSSA          ALICE           F
ALYSSIA         ALICE           F 
ALYSSON         ALISON          F
AMADOU          AHMED           M    
AMAEL           0               M 
AMAL            AMEL            F
AMALE           AMEL            F
AMALIA          AMELIE          F
AMANDA          0               F
AMANDINE        0               F 
AMAR            0               M 
AMAURY          0               M
AMBRE           0               F
AMBRINE         AMBRE           F
AMBROISE        0               N
AMEL            0               F
AMELE           AMEL            F 
AMELIA          AMELIE          F
AMELIE          0               F
AMELINE         AMELIE          F
AMELLE          AMEL            F 
AMIN            AMINE           M 
AMINA           0               F
AMINE           0               M
AMIR            0               M
AMIRA           0               F
ANA             ANNE            F  
ANABELLE        ANNABELLE       F
ANAEL           0               M 
ANAELLE         0               F
ANAIS           0               F
ANASTASIA       0               F
ANDRE           0               M 
ANDREA          0               F
ANDY            ANDRE           M
ANGELA          ANGELE          F
ANGELE          0               F 
ANGELICA        ANGELIQUE       F
ANGELINA        ANGELE          F
ANGELINE        ANGELE          F
ANGELIQUE       0               F
ANISSA          0               F
ANNA            ANNE            F
ANNABEL         ANNABELLE       F
ANNABELLE       0               F
ANNAELLE        ANAELLE         F
ANNE            0               F
ANTHONY         0               M 
ANTOINE         0               M 
ANTONIN         ANTHONY         M 
ANTONY          ANTHONY         M 
APOLLINE        0               F
ARMAND          0               M
ARNAUD          0               M
ARTHUR          0               M
ASSIA           0               F
ASTRID          0               F
ASTRIDE         ASTRID          F
AUDE            0               F 
AUDREY          0               F
AUGUSTIN        0               M
AURELIA         AURELIE         F
AURELIE         0               F
AURELIEN        0               M
AURIANE         0               F
AURORE          0               F
AXEL            0               M     
AXELLE          0               F
AYMERIC         EMERIC          M
BACHIR          0               M 
BACHRA          BOUCHRA         F 
BADER           BADR            M  
BADIS           0               M
BADR            0               M
BADRE           BADR            M 
BAHIA           0               F
BAKARI          BAKARY          M 
BAKARY          0               M
BALTHAZAR       0               M
BAPTISTE        0               M
BAPTISTIN       BATISTE         M  
BARBARA         0               F
BARTHELEMY      0               M
BASIL           BASILE          M
BASILE          0               M
BASMA           0               F          
BASTIAN         SEBASTIEN       M
BASTIEN         SEBASTIEN       M
BATISTE         0               M
BAUDOUIN        0               M
BAYA            0               F   
BEATRICE        0               F
BEATRIX         BEATRICE        F
BEATRIZ         BEATRICE        F
BECHIR          BACHIR          M          
BELAL           BILAL           M 
BELGACEM        BELKACEM        M 
BELINDA         0               F 
BELKACEM        0               M
BELLAL          BILAL           M  
BELLINDA        BELINDA         F
BEN             BENJAMIN        M
BENEDICTE       0               F
BENJAMIN        0               M
BENOIST         BENOIT          M       
BENOIT          0               M
BERANGER        0               M
BERANGERE       0               F
BERENGER        BERANGER        M
BERENGERE       0               F  
BERENICE        0               F
BERNADETTE      0               F
BERNARD         0               M
BERT            BERTRAND        M
BERTHE          0               F
BERTILLE        0               F
BERTRAND        0               M
BERYL           0               M
BESMA           BASMA           F 
BETINA          BETTINA         F
BETTINA         0               F
BETTY           ELISABETH       F  
BEVERLY         0               F
BEYA            BAYA            F
BIANCA          0               F
BILAL           0               M
BILALE          BILAL           M   
BILALY          BILAL           M  
BILEL           BILAL           M        
BILELE          BILAL           M 
BILLAL          BILAL           M  
BILLALE         BILAL           M 
BILLEL          BILAL           M   
BILLY           WILLIAM         M
BINTA           0               F
BINTOU          BINTA           F
BIXENTE         0               M
BLAISE          0               M
BLANCHE         0               F
BLANDINE        0               F
BOB             ROBERT          M
BOBAN           0               M
BOBBY           ROBERT          M 
BOCHRA          BOUCHRA         F
BORIS           0               M
BOUALEM         0               M
BOUBACAR        0               M           
BOUCHERA        BOUCHRA         F
BOUCHRA         0               F
BRAHIM          IBRAHIM         M
BRANDON         0               M
BRAYAN          0               M
BRENDA          0               F
BRENDAN         BRANDON         M 
BRIAC           0               M
BRIAN           BRYAN           M
BRICE           0               M
BRIEUC          BRIAC           M
BRIGITTE        0               F
BRITANIE        BRITTANY        F
BRITANNY        BRITTANY        F
BRITANY         BRITTANY        F
BRITHANY        BRITTANY        F
BRITNEY         BRITTANY        F
BRITTANY        0               F 
BRUCE           0               M
BRUNE           0               F
BRUNO           0               M
BRYAN           0               M
CALOGERO        0               M
CALYPSO         0               F
CAMAL           KAMEL           M
CAMEL           0               M
CAMELIA         0               F 
CAMIL           CAMILLE         M 
CAMILIA         CAMELIA         F
CAMILLA         CAMELIA         F
CAMILLE         0               F 
CAMILLE         0               N
CAMILO          CAMILLE         M 
CANDICE         0               F
CANDIE          CANDY           F
CANDY           0               F
CANELLE         CANNELLE        F
CANNELLE        0               F
CAPUCINE        0               F
CARINA          CARINE          F
CARINE          0               F
CARL            CHARLES         M
CARLA           0               F
CARLO           CARLOS          M 
CARLOS          0               M  
CARMELO         0               M
CARMEN          0               F
CAROL           CAROLE          F
CAROLANE        CAROLINE        F
CAROLE          0               F 
CAROLINA        CAROLINE        F
CAROLINE        0               F
CASIMIR         0               M
CASSANDRA       0               F
CASSANDRE       0               M
CASSANDRE       CASSANDRA       F
CATHERINE       0               F 
CATHIA          CATHY           F
CATHIE          CATHY           F 
CATHY           0               F
CATIA           CATHY           F
CECILE          0               F
CECILIA         CECILE          F
CEDRIC          0               M 
CEDRICK         CEDRIC          M 
